HomeTeam,AwayTeam,HomeGoals,AwayGoals
Fulham,Arsenal,0,3
Crystal Palace,Southampton,1,0
Liverpool,Leeds,4,3
West Ham,Newcastle,0,2
West Brom,Leicester,0,3
Tottenham,Everton,0,1
Brighton,Chelsea,1,3
Sheffield United,Wolves,0,2
Everton,West Brom,5,2
Leeds,Fulham,4,3
Man United,Crystal Palace,1,3
Arsenal,West Ham,2,1
Southampton,Tottenham,2,5
Newcastle,Brighton,0,3
Chelsea,Liverpool,0,2
Leicester,Burnley,4,2
Aston Villa,Sheffield United,1,0
Wolves,Man City,1,3
Brighton,Man United,2,3
Crystal Palace,Everton,1,2
West Brom,Chelsea,3,3
Burnley,Southampton,0,1
Sheffield United,Leeds,0,1
Tottenham,Newcastle,1,1
Man City,Leicester,2,5
West Ham,Wolves,4,0
Fulham,Aston Villa,0,3
Liverpool,Arsenal,3,1
Chelsea,Crystal Palace,4,0
Everton,Brighton,4,2
Leeds,Man City,1,1
Newcastle,Burnley,3,1
Leicester,West Ham,0,3
Southampton,West Brom,2,0
Arsenal,Sheffield United,2,1
Wolves,Fulham,1,0
Man United,Tottenham,1,6
Aston Villa,Liverpool,7,2
Everton,Liverpool,2,2
Chelsea,Southampton,3,3
Man City,Arsenal,1,0
Newcastle,Man United,1,4
Sheffield United,Fulham,1,1
Crystal Palace,Brighton,1,1
Tottenham,West Ham,3,3
Leicester,Aston Villa,0,1
West Brom,Burnley,0,0
Leeds,Wolves,0,1
Aston Villa,Leeds,0,3
West Ham,Man City,1,1
Fulham,Crystal Palace,1,2
Man United,Chelsea,0,0
Liverpool,Sheffield United,2,1
Southampton,Everton,2,0
Wolves,Newcastle,1,1
Arsenal,Leicester,0,1
Brighton,West Brom,1,1
Burnley,Tottenham,0,1
Wolves,Crystal Palace,2,0
Sheffield United,Man City,0,1
Burnley,Chelsea,0,3
Liverpool,West Ham,2,1
Aston Villa,Southampton,3,4
Newcastle,Everton,2,1
Man United,Arsenal,0,1
Tottenham,Brighton,2,1
Fulham,West Brom,2,0
Leeds,Leicester,1,4
Brighton,Burnley,0,0
Southampton,Newcastle,2,0
Everton,Man United,1,3
Crystal Palace,Leeds,4,1
Chelsea,Sheffield United,4,1
West Ham,Fulham,1,0
West Brom,Tottenham,0,1
Leicester,Wolves,1,0
Man City,Liverpool,1,1
Arsenal,Aston Villa,0,3
Newcastle,Chelsea,0,2
Aston Villa,Brighton,1,2
Tottenham,Man City,2,0
Man United,West Brom,1,0
Fulham,Everton,2,3
Sheffield United,West Ham,0,1
Leeds,Arsenal,0,0
Liverpool,Leicester,3,0
Burnley,Crystal Palace,1,0
Wolves,Southampton,1,1
Crystal Palace,Newcastle,0,2
Brighton,Liverpool,1,1
Man City,Burnley,5,0
Everton,Leeds,0,1
West Brom,Sheffield United,1,0
Southampton,Man United,2,3
Chelsea,Tottenham,0,0
Arsenal,Wolves,1,2
Leicester,Fulham,1,2
West Ham,Aston Villa,2,1
Burnley,Everton,1,1
Man City,Fulham,2,0
West Ham,Man United,1,3
Chelsea,Leeds,3,1
West Brom,Crystal Palace,1,5
Sheffield United,Leicester,1,2
Tottenham,Arsenal,2,0
Liverpool,Wolves,4,0
Brighton,Southampton,1,2
Leeds,West Ham,1,2
Wolves,Aston Villa,0,1
Newcastle,West Brom,2,1
Man United,Man City,0,0
Everton,Chelsea,1,0
Southampton,Sheffield United,3,0
Crystal Palace,Tottenham,1,1
Fulham,Liverpool,1,1
Arsenal,Burnley,0,1
Leicester,Brighton,3,0
Wolves,Chelsea,2,1
Man City,West Brom,1,1
Arsenal,Southampton,1,1
Leeds,Newcastle,5,2
Leicester,Everton,0,2
Fulham,Brighton,0,0
Liverpool,Tottenham,2,1
West Ham,Crystal Palace,1,1
Aston Villa,Burnley,0,0
Sheffield United,Man United,2,3
Crystal Palace,Liverpool,0,7
Southampton,Man City,0,1
Everton,Arsenal,2,1
Newcastle,Fulham,1,1
Brighton,Sheffield United,1,1
Tottenham,Leicester,0,2
Man United,Leeds,6,2
West Brom,Aston Villa,0,3
Burnley,Wolves,2,1
Chelsea,West Ham,3,0
Leicester,Man United,2,2
Aston Villa,Crystal Palace,3,0
Fulham,Southampton,0,0
Arsenal,Chelsea,3,1
Man City,Newcastle,2,0
Sheffield United,Everton,0,1
Leeds,Burnley,1,0
West Ham,Brighton,2,2
Liverpool,West Brom,1,1
Wolves,Tottenham,1,1
Crystal Palace,Leicester,1,1
Chelsea,Aston Villa,1,1
Brighton,Arsenal,0,1
Burnley,Sheffield United,1,0
Southampton,West Ham,0,0
West Brom,Leeds,0,5
Man United,Wolves,1,0
Newcastle,Liverpool,0,0
Everton,West Ham,0,1
Man United,Aston Villa,2,1
Tottenham,Leeds,3,0
Crystal Palace,Sheffield United,2,0
Brighton,Wolves,3,3
West Brom,Arsenal,0,4
Newcastle,Leicester,1,2
Chelsea,Man City,1,3
Southampton,Liverpool,1,0
Sheffield United,Newcastle,1,0
Burnley,Man United,0,1
Wolves,Everton,1,2
Man City,Brighton,1,0
Tottenham,Fulham,1,1
Arsenal,Crystal Palace,0,0
Wolves,West Brom,2,3
Leeds,Brighton,0,1
West Ham,Burnley,1,0
Fulham,Chelsea,0,1
Leicester,Southampton,2,0
Sheffield United,Tottenham,1,3
Liverpool,Man United,0,0
Man City,Crystal Palace,4,0
Arsenal,Newcastle,3,0
West Ham,West Brom,2,1
Leicester,Chelsea,2,0
Man City,Aston Villa,2,0
Fulham,Man United,1,2
Liverpool,Burnley,0,1
Aston Villa,Newcastle,2,0
Crystal Palace,West Ham,2,3
Newcastle,Leeds,1,2
Southampton,Arsenal,1,3
West Brom,Man City,0,5
Burnley,Aston Villa,3,2
Chelsea,Wolves,0,0
Brighton,Fulham,0,0
Everton,Leicester,1,1
Man United,Sheffield United,1,2
Tottenham,Liverpool,1,3
Everton,Newcastle,0,2
Crystal Palace,Wolves,1,0
Man City,Sheffield United,1,0
West Brom,Fulham,2,2
Arsenal,Man United,0,0
Southampton,Aston Villa,0,1
Chelsea,Burnley,2,0
Leicester,Leeds,1,3
West Ham,Liverpool,1,3
Brighton,Tottenham,1,0
Sheffield United,West Brom,2,1
Wolves,Arsenal,2,1
Man United,Southampton,9,0
Newcastle,Crystal Palace,1,2
Burnley,Man City,0,2
Fulham,Leicester,0,2
Leeds,Everton,1,2
Aston Villa,West Ham,1,3
Liverpool,Brighton,0,1
Tottenham,Chelsea,0,1
Aston Villa,Arsenal,1,0
Burnley,Brighton,1,1
Newcastle,Southampton,3,2
Fulham,West Ham,0,0
Man United,Everton,3,3
Tottenham,West Brom,2,0
Wolves,Leicester,0,0
Liverpool,Man City,1,4
Sheffield United,Chelsea,1,2
Leeds,Crystal Palace,2,0
Leicester,Liverpool,3,1
Crystal Palace,Burnley,0,3
Man City,Tottenham,3,0
Brighton,Aston Villa,0,0
Southampton,Wolves,1,2
West Brom,Man United,1,1
Arsenal,Leeds,4,2
Everton,Fulham,0,2
West Ham,Sheffield United,3,0
Chelsea,Newcastle,2,0
Burnley,Fulham,1,1
Everton,Man City,1,3
Wolves,Leeds,1,0
Southampton,Chelsea,1,1
Burnley,West Brom,0,0
Liverpool,Everton,0,2
Fulham,Sheffield United,1,0
West Ham,Tottenham,2,1
Aston Villa,Leicester,1,2
Arsenal,Man City,0,1
Man United,Newcastle,3,1
Brighton,Crystal Palace,1,2
Leeds,Southampton,3,0
Man City,West Ham,2,1
West Brom,Brighton,1,0
Leeds,Aston Villa,0,1
Newcastle,Wolves,1,1
Crystal Palace,Fulham,0,0
Leicester,Arsenal,1,3
Tottenham,Burnley,4,0
Chelsea,Man United,0,0
Sheffield United,Liverpool,0,2
Everton,Southampton,1,0
Man City,Wolves,4,1
Burnley,Leicester,1,1
Sheffield United,Aston Villa,1,0
Crystal Palace,Man United,0,0
Fulham,Tottenham,0,1
West Brom,Everton,0,1
Liverpool,Chelsea,0,1
Burnley,Arsenal,1,1
Sheffield United,Southampton,0,2
Aston Villa,Wolves,0,0
Brighton,Leicester,1,2
West Brom,Newcastle,0,0
Liverpool,Fulham,0,1
Man City,Man United,0,2
Tottenham,Crystal Palace,4,1
Chelsea,Everton,2,0
West Ham,Leeds,2,0
Man City,Southampton,5,2
Newcastle,Aston Villa,1,1
Leeds,Chelsea,0,0
Crystal Palace,West Brom,1,0
Everton,Burnley,1,2
Fulham,Man City,0,3
Southampton,Brighton,1,2
Leicester,Sheffield United,5,0
Arsenal,Tottenham,2,1
Man United,West Ham,1,0
Wolves,Liverpool,0,1
Fulham,Leeds,1,2
Brighton,Newcastle,3,0
West Ham,Arsenal,3,3
Aston Villa,Tottenham,0,2
Chelsea,West Brom,2,5
Leeds,Sheffield United,2,1
Leicester,Man City,0,2
Arsenal,Liverpool,0,3
Southampton,Burnley,3,2
Newcastle,Tottenham,2,2
Aston Villa,Fulham,3,1
Man United,Brighton,2,1
Everton,Crystal Palace,1,1
Wolves,West Ham,2,3
Fulham,Wolves,0,1
Man City,Leeds,1,2
Liverpool,Aston Villa,2,1
Crystal Palace,Chelsea,1,4
Burnley,Newcastle,1,2
West Ham,Leicester,3,2
Tottenham,Man United,1,3
Sheffield United,Arsenal,0,3
West Brom,Southampton,3,0
Brighton,Everton,0,0
Everton,Tottenham,2,2
Newcastle,West Ham,3,2
Wolves,Sheffield United,1,0
Arsenal,Fulham,1,1
Man United,Burnley,3,1
Leeds,Liverpool,1,1
Chelsea,Brighton,0,0
Tottenham,Southampton,2,1
Aston Villa,Man City,1,2
Leicester,West Brom,3,0
Arsenal,Everton,0,1
Liverpool,Newcastle,1,1
West Ham,Chelsea,0,1
Sheffield United,Brighton,1,0
Wolves,Burnley,0,4
Leeds,Man United,0,0
Aston Villa,West Brom,2,2
Leicester,Crystal Palace,2,1
Southampton,Leicester,1,1
Crystal Palace,Man City,0,2
Brighton,Leeds,2,0
Chelsea,Fulham,2,0
Everton,Aston Villa,1,2
Newcastle,Arsenal,0,2
Tottenham,Sheffield United,4,0
West Brom,Wolves,1,1
Burnley,West Ham,1,2
Leicester,Newcastle,2,4
Leeds,Tottenham,3,1
Sheffield United,Crystal Palace,0,2
Man City,Chelsea,1,2
Liverpool,Southampton,2,0
Wolves,Brighton,2,1
Aston Villa,Man United,1,3
West Ham,Everton,0,1
Arsenal,West Brom,3,1
Fulham,Burnley,0,2
Man United,Leicester,1,2
Southampton,Crystal Palace,3,1
Chelsea,Arsenal,0,1
Aston Villa,Everton,0,0
Man United,Liverpool,2,4
Newcastle,Man City,3,4
Burnley,Leeds,0,4
Southampton,Fulham,3,1
Brighton,West Ham,1,1
Crystal Palace,Aston Villa,3,2
Tottenham,Wolves,2,0
West Brom,Liverpool,1,2
Everton,Sheffield United,0,1
Man United,Fulham,1,1
Southampton,Leeds,0,2
Brighton,Man City,3,2
Chelsea,Leicester,2,1
Everton,Wolves,1,0
Newcastle,Sheffield United,1,0
Tottenham,Aston Villa,1,2
Crystal Palace,Arsenal,1,3
Burnley,Liverpool,0,3
West Brom,West Ham,1,3
Arsenal,Brighton,2,0
Aston Villa,Chelsea,2,1
Fulham,Newcastle,0,2
Leeds,West Brom,3,1
Leicester,Tottenham,2,4
Liverpool,Crystal Palace,2,0
Man City,Everton,5,0
Sheffield United,Burnley,1,0
West Ham,Southampton,3,0
Wolves,Man United,1,2
